File	Diameter	DPsC_|S|	DPsC_time	Diameter	Schäfer_|S|	Schäfer_time
./Input/Test/Test/DLT.gml	4	4353	1.857717990875240	4	4353	109.98323464393600
./Input/Test/Test/DLT.gml	5	4417	1.5734479427337600	5	4417	116.59456181526200
